%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1580139970880217809,250,1580139970876558065,/rgps,6,15,45.6239797488,9.28183116419,229.840157247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139970977013503,251,1580139970976573944,/rgps,6,15,45.6239890256,9.28183217239,229.852492871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139971080195136,252,1580139971081949949,/rgps,6,15,45.6239983078,9.28183318615,229.858470219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139971165531077,253,1580139971169121026,/rgps,6,15,45.6240075898,9.2818341748,229.854975326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139971271340305,254,1580139971275376081,/rgps,6,15,45.624016819,9.28183520393,229.858774291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139971377521664,255,1580139971378592014,/rgps,6,15,45.6240259953,9.28183621406,229.864763956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139971480523481,256,1580139971480443954,/rgps,6,15,45.6240351821,9.28183724204,229.8667303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139971580759960,257,1580139971580416917,/rgps,6,15,45.624044283,9.28183822675,229.868671768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139971671711010,258,1580139971673777103,/rgps,6,15,45.624053362,9.28183924407,229.876954016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139971772121650,259,1580139971771708011,/rgps,6,15,45.6240623887,9.28184025415,229.883874892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139971874986229,260,1580139971874810934,/rgps,6,15,45.62407131,9.28184130108,229.899860711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139971975142166,261,1580139971977334976,/rgps,6,15,45.6240802335,9.28184231275,229.911164223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139972081265086,262,1580139972082305908,/rgps,6,15,45.6240890935,9.2818433428,229.923514618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139972166237395,263,1580139972170541048,/rgps,6,15,45.6240979248,9.28184438324,229.934668348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139972275456283,264,1580139972275742053,/rgps,6,15,45.6241066953,9.28184545277,229.939866332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139972378606621,265,1580139972378865957,/rgps,6,15,45.6241154069,9.28184648403,229.947684325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139972478765155,266,1580139972478888988,/rgps,6,15,45.6241240321,9.2818475378,229.959934556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139972572697124,267,1580139972569334030,/rgps,6,15,45.6241325976,9.28184856103,229.96540476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139972676047960,268,1580139972676507949,/rgps,6,15,45.6241410754,9.28184960265,229.97651491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139972770144114,269,1580139972771459102,/rgps,6,15,45.6241494429,9.28185063634,229.993564378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139972876443560,270,1580139972875766992,/rgps,6,15,45.6241577794,9.281851643,230.003230026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139972994781914,271,1580139972996506929,/rgps,6,15,45.6241660732,9.28185263084,230.01110152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139973079611407,272,1580139973081871986,/rgps,6,15,45.6241742226,9.28185364164,230.026878363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139973185709188,273,1580139973185934066,/rgps,6,15,45.6241822595,9.28185466709,230.046256865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139973273689588,274,1580139973275944948,/rgps,6,15,45.6241903152,9.28185566932,230.057533119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139973382854150,275,1580139973382416009,/rgps,6,15,45.6241982992,9.28185665801,230.069066349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139973482880619,276,1580139973484563112,/rgps,6,15,45.6242062861,9.28185766974,230.083282785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139973570748839,277,1580139973576318979,/rgps,6,15,45.6242141904,9.28185869433,230.100715153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139973669394120,278,1580139973671142101,/rgps,6,15,45.6242220258,9.28185972275,230.12159833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139973782999311,279,1580139973785017013,/rgps,6,15,45.6242298204,9.28186071289,230.12990498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139973883154404,280,1580139973879942893,/rgps,6,15,45.624237571,9.28186172733,230.141867912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139973980260609,281,1580139973980771064,/rgps,6,15,45.6242453041,9.28186270867,230.149591794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139974086443271,282,1580139974086093902,/rgps,6,15,45.6242529951,9.28186370149,230.16088666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139974162206926,283,1580139974167526006,/rgps,6,15,45.6242606128,9.28186473989,230.173791244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139974271475971,284,1580139974271785974,/rgps,6,15,45.6242680936,9.2818657669,230.186806556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139974371759059,285,1580139974373869895,/rgps,6,15,45.6242755005,9.28186674291,230.191926314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139974484026448,286,1580139974485496044,/rgps,6,15,45.6242828029,9.28186778137,230.205673016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139974571975317,287,1580139974576705932,/rgps,6,15,45.6242900089,9.28186882152,230.212813151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139974675123461,288,1580139974677392005,/rgps,6,15,45.624297109,9.28186984162,230.224886053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139974778258858,289,1580139974778177022,/rgps,6,15,45.6243041252,9.28187085383,230.231258573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139974908605552,290,1580139974904930114,/rgps,6,15,45.6243110556,9.28187185178,230.229693066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139974978307258,291,1580139974980725049,/rgps,6,15,45.6243179219,9.28187286738,230.236433153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139975093295317,292,1580139975089943885,/rgps,6,15,45.624324663,9.28187389453,230.241683612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139975178205253,293,1580139975176722049,/rgps,6,15,45.6243313356,9.28187491137,230.248179268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139975281324886,294,1580139975279761075,/rgps,6,15,45.6243379351,9.28187591597,230.247205594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139975378228078,295,1580139975378914117,/rgps,6,15,45.6243444455,9.28187689643,230.252552902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139975487342107,296,1580139975484464883,/rgps,6,15,45.6243508686,9.28187787654,230.254516484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139975578235026,297,1580139975579216957,/rgps,6,15,45.6243571864,9.28187886372,230.255419811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139975675358959,298,1580139975673917055,/rgps,6,15,45.6243634513,9.28187987097,230.260751295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139975769374946,299,1580139975770792961,/rgps,6,15,45.6243695828,9.28188088939,230.268271951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139975875493502,300,1580139975876430034,/rgps,6,15,45.6243757003,9.28188194396,230.268444116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139975981569212,301,1580139975981110095,/rgps,6,15,45.624381729,9.28188298454,230.264515068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139976087622902,302,1580139976085046052,/rgps,6,15,45.6243877326,9.28188407601,230.263028274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139976178511150,303,1580139976177054882,/rgps,6,15,45.6243936793,9.28188517286,230.266290258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139976278533920,304,1580139976279230117,/rgps,6,15,45.6243995149,9.28188636263,230.275953473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139976374322569,305,1580139976378679990,/rgps,6,15,45.6244053472,9.28188762383,230.26767397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139976487703789,306,1580139976487129926,/rgps,6,15,45.6244110923,9.28188892593,230.260341928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139976578737717,307,1580139976579725980,/rgps,6,15,45.6244168527,9.28189031632,230.259156238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139976675835751,308,1580139976677223920,/rgps,6,15,45.6244225753,9.2818918641,230.265841679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139976772985477,309,1580139976778016090,/rgps,6,15,45.624428248,9.28189349739,230.263123241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139976876030384,310,1580139976873095035,/rgps,6,15,45.624433843,9.28189522526,230.26358476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139976988273195,311,1580139976992503881,/rgps,6,15,45.6244394303,9.28189707236,230.261431997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139977085655330,312,1580139977088087081,/rgps,6,15,45.6244449594,9.28189901949,230.263124824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
