%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1580139864729099928,5779,1580139864731760978,/fgps,1,12,45.6219971069,9.28158569276,223.984841929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139864822839432,5780,1580139864824450016,/fgps,1,12,45.6220078549,9.28158697321,223.983508143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139864931854518,5781,1580139864930356025,/fgps,1,11,45.6220186488,9.28158819968,223.990944152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139865044199645,5782,1580139865041626930,/fgps,1,11,45.6220294259,9.28158945337,224.044956535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139865132132901,5783,1580139865134217023,/fgps,1,11,45.6220400525,9.28159058883,224.074471589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139865234599670,5784,1580139865235857009,/fgps,1,10,45.622050709,9.28159190871,224.038515391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139865338225049,5785,1580139865337618112,/fgps,1,10,45.6220612749,9.28159314579,224.003628314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139865432117880,5786,1580139865434983968,/fgps,1,10,45.6220717664,9.2815943508,223.982792694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139865538684030,5787,1580139865539041042,/fgps,1,10,45.6220822187,9.28159555474,223.946177249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139865641347619,5788,1580139865638093948,/fgps,1,10,45.6220926661,9.28159676715,223.907520189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139865741085655,5789,1580139865738992929,/fgps,1,10,45.6221030994,9.28159788895,223.884873888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139865841131500,5790,1580139865841365098,/fgps,1,10,45.6221134063,9.28159894982,223.867150979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139865938412061,5791,1580139865940229892,/fgps,1,10,45.6221237234,9.2816001299,223.846103104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139866059532250,5792,1580139866057710886,/fgps,1,10,45.6221340119,9.28160120444,223.835453363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139866135334276,5793,1580139866135179042,/fgps,1,10,45.6221441641,9.28160219506,223.810136907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139866238247730,5794,1580139866241282939,/fgps,1,10,45.6221541074,9.28160303604,223.795048172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139866335240984,5795,1580139866335432052,/fgps,1,10,45.6221638514,9.28160388264,223.794733473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139866435144326,5796,1580139866434452056,/fgps,1,10,45.6221733435,9.28160469059,223.815820552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139866528906658,5797,1580139866530267000,/fgps,1,10,45.6221827368,9.28160540938,223.86247657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139866628836850,5798,1580139866628386020,/fgps,1,10,45.6221920814,9.28160616513,223.883959514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139866734796322,5799,1580139866731359004,/fgps,1,10,45.6222012755,9.28160687068,223.909155418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139866840717157,5800,1580139866841537952,/fgps,1,10,45.622210518,9.28160751471,223.92663082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139866931496528,5801,1580139866933711051,/fgps,1,10,45.6222197327,9.2816082202,223.905035773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139867043658386,5802,1580139867043281078,/fgps,1,10,45.6222289133,9.28160893262,223.88844045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139867143597555,5803,1580139867144560098,/fgps,1,10,45.6222379254,9.28160960282,223.890992015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139867243574463,5804,1580139867244029045,/fgps,1,10,45.6222467626,9.28161029852,223.883548869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139867332005377,5805,1580139867336131095,/fgps,1,10,45.6222555656,9.28161115421,223.873501568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
